V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
,x,,,2014-15,2014-15,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,poor,Poor
39.78,,30.81,48.75,2016-17,2016-17,E07000049,East Dorset,anxiety,Anxiety,very-good,Very good
21.49,,15.27,27.71,2012-13,2012-13,E07000205,Suffolk Coastal,anxiety,Anxiety,poor,Poor
24.05,,20.8,27.29,2018-19,2018-19,E06000029,Poole,anxiety,Anxiety,good,Good
18.83,,15.39,22.27,2018-19,2018-19,S12000044,North Lanarkshire,anxiety,Anxiety,poor,Poor
22.42,,18.48,26.36,2019-20,2019-20,E10000009,Dorset,anxiety,Anxiety,poor,Poor
,x,,,2015-16,2015-16,E07000048,Christchurch,anxiety,Anxiety,poor,Poor
41.27,,33.66,48.88,2016-17,2016-17,E07000205,Suffolk Coastal,anxiety,Anxiety,very-good,Very good
31.30,,22.42,40.17,2012-13,2012-13,E07000048,Christchurch,anxiety,Anxiety,good,Good
24.67,,18.01,31.33,2013-14,2013-14,E07000049,East Dorset,anxiety,Anxiety,good,Good
40.93,,29.08,52.78,2017-18,2017-18,E07000048,Christchurch,anxiety,Anxiety,very-good,Very good
20.95,,17.36,20.94,2014-15,2014-15,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,very-good,Very good
25.42,,15.54,35.29,2013-14,2013-14,E07000048,Christchurch,anxiety,Anxiety,good,Good
23.58,,20.54,26.61,2013-14,2013-14,S12000044,North Lanarkshire,anxiety,Anxiety,poor,Poor
,x,,,2018-19,2018-19,E06000053,Isles of Scilly,anxiety,Anxiety,good,Good
,x,,,2015-16,2015-16,E06000053,Isles of Scilly,anxiety,Anxiety,very-good,Very good
43.53,,39.84,47.23,2012-13,2012-13,S12000024,Perth and Kinross,anxiety,Anxiety,very-good,Very good
,x,,,2016-17,2016-17,E07000191,West Somerset,anxiety,Anxiety,poor,Poor
39.52,,35.43,43.61,2012-13,2012-13,E06000029,Poole,anxiety,Anxiety,very-good,Very good
,x,,,2013-14,2013-14,E06000053,Isles of Scilly,anxiety,Anxiety,good,Good
,x,,,2018-19,2018-19,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2019-20,2019-20,E06000029,Poole,life-satisfaction,Life Satisfaction,poor,Poor
6.04,,4.3,7.77,2018-19,2018-19,E10000009,Dorset,happiness,Happiness,poor,Poor
10.10,,7.5,12.69,2014-15,2014-15,S12000024,Perth and Kinross,worthwhile,Worthwhile,fair,Fair
38.49,,34.25,42.74,2019-20,2019-20,E10000009,Dorset,worthwhile,Worthwhile,very-good,Very good
,x,,,2015-16,2015-16,E07000049,East Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2012-13,2012-13,E07000190,Taunton Deane,worthwhile,Worthwhile,poor,Poor
11.10,,8.62,13.58,2015-16,2015-16,E10000009,Dorset,worthwhile,Worthwhile,fair,Fair
,x,,,2014-15,2014-15,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
,x,,,2012-13,2012-13,E07000190,Taunton Deane,worthwhile,Worthwhile,good,Good
11.28,,8.01,14.56,2017-18,2017-18,S12000024,Perth and Kinross,worthwhile,Worthwhile,fair,Fair
,x,,,2015-16,2015-16,E07000052,West Dorset,worthwhile,Worthwhile,good,Good
,x,,,2012-13,2012-13,E07000204,St Edmundsbury,worthwhile,Worthwhile,fair,Fair
11.40,,7.06,15.75,2014-15,2014-15,E07000052,West Dorset,happiness,Happiness,fair,Fair
13.39,,10.41,16.38,2015-16,2015-16,S12000015,Fife,life-satisfaction,Life Satisfaction,fair,Fair
4.15,,2.52,5.78,2016-17,2016-17,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,poor,Poor
30.54,,22.17,38.91,2017-18,2017-18,E07000204,St Edmundsbury,happiness,Happiness,good,Good
35.77,,32.03,39.52,2014-15,2014-15,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
,x,,,2018-19,2018-19,E07000190,Taunton Deane,worthwhile,Worthwhile,poor,Poor
30.42,,20.13,40.72,2015-16,2015-16,E07000053,Weymouth and Portland,worthwhile,Worthwhile,very-good,Very good
,x,,,2013-14,2013-14,E07000052,West Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2016-17,2016-17,E07000051,Purbeck,worthwhile,Worthwhile,fair,Fair
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,worthwhile,Worthwhile,very-good,Very good
,x,,,2014-15,2014-15,E07000201,Forest Heath,worthwhile,Worthwhile,poor,Poor
40.01,,29.83,50.2,2017-18,2017-18,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
,x,,,2016-17,2016-17,E07000204,St Edmundsbury,worthwhile,Worthwhile,fair,Fair
44.41,,36.1,52.71,2012-13,2012-13,E07000204,St Edmundsbury,happiness,Happiness,good,Good
48.72,,39.65,57.79,2018-19,2018-19,E07000205,Suffolk Coastal,happiness,Happiness,good,Good
,x,,,2017-18,2017-18,E07000050,North Dorset,worthwhile,Worthwhile,fair,Fair
6.18,,4.33,8.03,2011-12,2011-12,S12000044,North Lanarkshire,worthwhile,Worthwhile,poor,Poor
47.15,,38.54,55.76,2018-19,2018-19,E07000190,Taunton Deane,worthwhile,Worthwhile,good,Good
49.06,,44.94,53.19,2015-16,2015-16,E10000009,Dorset,worthwhile,Worthwhile,good,Good
