FeatureCode,DateCode,Measurement,Units,Value,Tenure
E07000210,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000210,2022 Q3,Completions,building-completions,0,Local Authority
E07000210,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000210,2022 Q1,Completions,building-completions,0,Local Authority
E07000210,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000210,Year ending 2022-03-31,Completions,building-completions,70,Private Enterprise
E07000210,2022 Q1,Completions,building-completions,20,Private Enterprise
E07000210,Year ending 2022-06-30,Completions,building-completions,60,Private Enterprise
E07000210,2022 Q2,Completions,building-completions,20,Private Enterprise
E07000210,2022 Q3,Completions,building-completions,10,Private Enterprise
E07000210,Year ending 2022-09-30,Completions,building-completions,60,Private Enterprise
E07000210,2022 Q3,Completions,building-completions,10,All
E07000210,Year ending 2022-09-30,Completions,building-completions,60,All
E07000210,Year ending 2022-03-31,Completions,building-completions,70,All
E07000210,2022 Q1,Completions,building-completions,20,All
E07000210,2022 Q2,Completions,building-completions,20,All
E07000210,Year ending 2022-06-30,Completions,building-completions,60,All
E07000213,Year ending 2022-03-31,Completions,building-completions,100,Housing Association
E07000213,2022 Q1,Completions,building-completions,0,Housing Association
E07000213,2022 Q3,Completions,building-completions,0,Housing Association
E07000213,Year ending 2022-09-30,Completions,building-completions,0,Housing Association
E07000213,2022 Q2,Completions,building-completions,0,Housing Association
E07000213,Year ending 2022-06-30,Completions,building-completions,100,Housing Association
E07000213,2022 Q2,Completions,building-completions,0,Local Authority
E07000213,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000213,2022 Q3,Completions,building-completions,0,Local Authority
E07000213,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000213,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000213,2022 Q1,Completions,building-completions,0,Local Authority
E07000213,2022 Q1,Completions,building-completions,10,Private Enterprise
E07000213,Year ending 2022-03-31,Completions,building-completions,180,Private Enterprise
E07000213,Year ending 2022-06-30,Completions,building-completions,100,Private Enterprise
E07000213,2022 Q2,Completions,building-completions,10,Private Enterprise
E07000213,2022 Q3,Completions,building-completions,10,Private Enterprise
E07000213,Year ending 2022-09-30,Completions,building-completions,40,Private Enterprise
E07000213,2022 Q3,Completions,building-completions,10,All
E07000213,Year ending 2022-09-30,Completions,building-completions,40,All
E07000213,2022 Q1,Completions,building-completions,10,All
E07000213,Year ending 2022-03-31,Completions,building-completions,280,All
E07000213,2022 Q2,Completions,building-completions,10,All
E07000213,Year ending 2022-06-30,Completions,building-completions,200,All
E07000212,Year ending 2022-03-31,Completions,building-completions,50,Housing Association
E07000212,2022 Q1,Completions,building-completions,0,Housing Association
E07000212,Year ending 2022-09-30,Completions,building-completions,90,Housing Association
E07000212,2022 Q3,Completions,building-completions,0,Housing Association
E07000212,2022 Q2,Completions,building-completions,60,Housing Association
E07000212,Year ending 2022-06-30,Completions,building-completions,100,Housing Association
E07000212,2022 Q2,Completions,building-completions,0,Local Authority
E07000212,2022 Q3,Completions,building-completions,0,Local Authority
E07000212,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000212,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000212,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000212,2022 Q1,Completions,building-completions,0,Local Authority
E07000212,2022 Q1,Completions,building-completions,60,Private Enterprise
E07000212,Year ending 2022-03-31,Completions,building-completions,280,Private Enterprise
E07000212,Year ending 2022-06-30,Completions,building-completions,320,Private Enterprise
E07000212,2022 Q2,Completions,building-completions,60,Private Enterprise
E07000212,Year ending 2022-09-30,Completions,building-completions,290,Private Enterprise
E07000212,2022 Q3,Completions,building-completions,40,Private Enterprise
E07000212,Year ending 2022-09-30,Completions,building-completions,380,All
E07000212,2022 Q3,Completions,building-completions,40,All
E07000212,2022 Q1,Completions,building-completions,60,All
E07000212,Year ending 2022-03-31,Completions,building-completions,330,All
E07000212,2022 Q2,Completions,building-completions,110,All
E07000212,Year ending 2022-06-30,Completions,building-completions,420,All
E07000217,Year ending 2022-03-31,Completions,building-completions,100,Housing Association
E07000217,2022 Q1,Completions,building-completions,0,Housing Association
E07000217,2022 Q3,Completions,building-completions,0,Housing Association
E07000217,Year ending 2022-09-30,Completions,building-completions,0,Housing Association
E07000217,2022 Q2,Completions,building-completions,0,Housing Association
E07000217,Year ending 2022-06-30,Completions,building-completions,40,Housing Association
E07000217,2022 Q2,Completions,building-completions,0,Local Authority
E07000217,Year ending 2022-09-30,Completions,building-completions,50,Local Authority
E07000217,2022 Q3,Completions,building-completions,0,Local Authority
E07000217,Year ending 2022-06-30,Completions,building-completions,50,Local Authority
E07000217,Year ending 2022-03-31,Completions,building-completions,50,Local Authority
E07000217,2022 Q1,Completions,building-completions,0,Local Authority
E07000217,2022 Q1,Completions,building-completions,20,Private Enterprise
E07000217,Year ending 2022-03-31,Completions,building-completions,130,Private Enterprise
E07000217,Year ending 2022-06-30,Completions,building-completions,70,Private Enterprise
E07000217,2022 Q2,Completions,building-completions,20,Private Enterprise
E07000217,2022 Q3,Completions,building-completions,10,Private Enterprise
E07000217,Year ending 2022-09-30,Completions,building-completions,60,Private Enterprise
E07000217,2022 Q3,Completions,building-completions,10,All
E07000217,Year ending 2022-09-30,Completions,building-completions,100,All
E07000217,2022 Q1,Completions,building-completions,20,All
E07000217,Year ending 2022-03-31,Completions,building-completions,270,All
E07000217,2022 Q2,Completions,building-completions,20,All
E07000217,Year ending 2022-06-30,Completions,building-completions,160,All
E07000208,Year ending 2022-03-31,Completions,building-completions,0,Housing Association
E07000208,2022 Q1,Completions,building-completions,0,Housing Association
E07000208,Year ending 2022-09-30,Completions,building-completions,30,Housing Association
E07000208,2022 Q3,Completions,building-completions,20,Housing Association
E07000208,2022 Q2,Completions,building-completions,10,Housing Association
E07000208,Year ending 2022-06-30,Completions,building-completions,10,Housing Association
E07000208,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000208,2022 Q3,Completions,building-completions,0,Local Authority
E07000208,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000208,2022 Q2,Completions,building-completions,0,Local Authority
E07000208,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000208,2022 Q1,Completions,building-completions,0,Local Authority
E07000208,2022 Q1,Completions,building-completions,30,Private Enterprise
